,Close,High,Low,Open,Volume
count,501.0,501.0,501.0,501.0,501.0
mean,293.22942128438433,299.62588775086545,286.561756491899,293.23996032593016,96356503.99201597
std,94.4825294132178,96.40641036866283,92.41974078555424,94.68064778904443,33905057.56903215
min,142.0500030517578,144.44000244140625,138.8000030517578,140.55999755859375,36252900.0
25%,210.66000366210938,215.8800048828125,207.55999755859375,211.8800048828125,73178000.0
50%,279.1000061035156,284.8500061035156,270.7799987792969,275.5799865722656,89000200.0
75%,356.8999938964844,362.70001220703125,349.1600036621094,356.1700134277344,111477600.0
max,489.8800048828125,498.8299865722656,485.3299865722656,489.8800048828125,287499800.0
