,Close,High,Low,Open,Volume
count,2264.0,2264.0,2264.0,2264.0,2264.0
mean,102.88624524564709,105.18968073386607,100.46374465972711,102.91451945574461,114258043.19787987
std,110.93640010920242,113.5166313090747,108.2936232165382,111.03632252741298,77047741.24333279
min,9.57800006866455,10.33133316040039,9.403332710266113,9.48799991607666,10620000.0
25%,16.670499801635742,16.90850067138672,16.450666904449463,16.65433406829834,66234375.0
50%,23.160666465759277,23.485000610351562,22.814332962036133,23.159667015075684,93467550.0
75%,214.2900047302246,218.45750045776367,206.9166717529297,212.06249618530273,134060700.0
max,409.9700012207031,414.4966735839844,405.6666564941406,411.4700012207031,914082000.0
